ул. Аксакова, все дома

3 пер. Амурский, №№ 1 - 9 (нечёт-ная сторона)

1 пер. Благодатный, все дома

2 пер. Благодатный, все дома

3 пер. Благодатный, все дома

4 пер. Благодатный, все дома

пр-кт Гая, 1 - 25 (нечётная сторона)

пр-кт Гая,3 - административные здания

пр-кт Гая,5а - административные здания

пр-кт Гая, 15 - административные здания

пр-кт Гая, 21 - административные здания

пр-кт Гая, 58 - 82

пр-кт Гая, 82а/29 (чётная сторона) - административные здания

ул. Державина, чётная сторона - все дома (№ 2/115 - администра-тивное здание)

ул. Дружбы, все дома

пер. Дружбы, все дома

пер. Дубравный, все дома

ул. Инзенская,1 - 41 (нечётная сторона)

ул. Инзенская, 2/78 - 18

ул. Инзенская, 3/21 - административные здания

ул. Инзенская, 4/23 - административные здания

ул. Инзенская, 37 - административные здания

ул. Инзенская, 42 (чётная сторона) - административные здания

ул. Инзенская, 44 (чётная сторона)

ул. Инзенская, 44а (чётная сторона) - административные здания

1 пер. Инзенский, все дома

2 пер. Инзенский, все дома

3 пер. Инзенский, все дома

ул. Клубная, все дома

ул. Клубная, 8б - административное здание

ул. Кольцевая, 1 - 37 (нечётная сторона)

ул. Кольцевая, 2 - 30 (чётная сторона)

ул. Кольцевая,12 - административные здания- административные здания

ул. Кольцевая,14 - административные здания- административные здания

ул. Кольцевая, 25 - административные здания- административные здания

ул. Кольцевая, 33 - административные здания- административные здания

ул. Локомотивная, 90 - 114/37 (чётная сторона)

ул. Локомотивная,98 - административные здания

ул. Локомотивная,100 - административные здания

ул. Локомотивная,108 - административные здания

ул. Локомотивная, 114/37 - административные здания

ул. Локомотивная, 115/2 - 171 - административные здания

ул. Луначарского, 1 - 13 (нечётная сторона)

ул. Луначарского, 1 - административное здание

ул. Поэта Благова, все дома

ул. Садовникова, все дома

пер. Садовникова, все дома

ул. Серафимовича, №№ 1 - 25, 29/82а (нечётная сторона), 2 - 30 (чётная сторона) (№№ 21/3, 23/4, 25, 29/82а - административные здания)

1 пер. Серафимовича, все дома

2 пер. Серафимовича, все дома

3 пер. Серафимовича, все дома

ул. Хрустальная, №№ 2 - 24 (чёт-ная сторона), 5 - 17 (нечётная сто-рона) (№ 8 - административное здание)

пер. Школьный, все дома

ул. Щорса, №№ 1 - 49 (нечётная сторона), 2 - 46 (чётная сторона)

пер. Щорса, все дома

тер. СНТ «Первенец»

п. Винновка:

ул. Соловьева, все дома

ул. Беляева, все дома

ул. Хазова, все дома

ул. Береговая, все дома

ул. Неверова, все дома

ул. Винновская, все дома

ул. Киндяковых, все дома

1 пер. Береговой, все дома

2 пер. Береговой, все дома

пер. Торговый, все дома

пер. Беляева, все дома

пер. Безымянный, все дома

1 пер. Сельский, все дома

2 пер. Сельский, все дома

пер. Озерный, все дома

пер. Охотничий, все дома

пер. Песчаный, все дома
