б-р Архитекторов, чётная сторона, все дома, №№ 1 - 17 (нечётная сто-рона)

ул. Архитектора Шодэ, все дома

ул. Вечерняя, все дома

ул. Генерала Журавлева, все дома

ул. Генерала Табакина, все дома

ул. Городская Усадьба, все дома

ул. Дениса Давыдова, все дома

ул. Защитников Отечества, все дома

ул. Жиркевича, все дома

ул. Красивая, все дома

ул. Панорамная, все дома

ул. Репина, №№ 8 - 20 (чётная сто-рона), 37 - 55 (нечётная сторона) (№№ 41, 47а - административное здание)

ул. Скочилова, все дома

ул. Танкистов, все дома

пер. Березовый, все дома

ул. Ботаническая, все дома

ул. Звездная, все дома

ул. Интернациональная, все дома (№ 9 - административное здание)

пер. Кедровый, все дома

пер. Кленовый, все дома

пер. Малиновый, все дома

ул. Мостовская, все дома

пер. Ореховый, все дома

ул. Пригородная, все дома

пер. Ракитный, все дома

ул. Родниковая, все дома

ул. Российская, все дома (№№ 57, 64, 121 - административные здания)

пер. Рябиновый, все дома

пер. Тополевый, все дома

ул. Труда, все дома

пер. Цветочный, все дома

пер. Яблоневый, все дома (№ 9 - ад-министративное здание)

пер. Ясеневый, все дома

садовые общества: «Бережок», «Бе-резка», «Водоканалец», «Виктория», «Заря», «КГБ», «Колос», «Комму-нальник», «Лужки», «Луч», «Маяк», «Мостовая», «Пищевик», «Рассвет», «Росинка», «Ручеек», «Сад № 5 – УАЗ», «Сад № 6», «Свияга», «Се-вер», «Спутник», «Химик».
