ул. XIX Партсъезда №№ 51 - 79 (нечетная сторона)

ул. XIX Партсъезда №№ 50 - 56 (четная сторона)

ул. 8 Марта №№ 5 - 67 (№№ 5б 8б 11 - административные здания)

ул. 9 Мая №№ 1 - 70 (четная и нечетная стороны)

ул. 9 Мая №№ 71 - 77 (нечетная сторона)

ул. 40-летия Октября №№ 2/7 - 74 (четная сторона)

ул. 40-летия Октября №№ 9 - 31 (нечетная сторона)

ул. 40-летия Комсомола №№ 35 - 46

ул. 40-летия Комсомола, №№ 35 - 46

пер. Великанова, все дома

ул. Волгоградская, чётная сторона

ул. Волгоградская №№ 55 - 67 (нечетная сторона)

пер. Волгоградский, все дома

ул. Волжская, №№ 2 - 57

1 пер. Восточный, все дома

2 пер. Восточный, все дома

ул. Димитрова, все дома

ул. Жуковского, №№ 1/15 - 71 (не-чётная сторона)

ул. Жуковского, № 3 - административное здание

ул. Жуковского, № 13 - административное здание

ул. Жуковского, № 15 - административное здание

ул. Жуковского, № 45 - административное здание

ул. Жуковского, № 61 - административное здание

ул. Жуковского, № 65 - административное здание

ул. Лизы Чайкиной, все дома

ул. Ломоносова, все дома

ул. Мелекесская, все дома

1 пер. Мелекесский, №№ 1 - 49 (не-чётная сторона)

1 пер. Мелекесский, №№ 4 - 70 (чётная сторона)

2 пер. Мелекесский, все дома

проезд Менделеева, все дома

1 пер. Молодежный, все дома

2 пер. Молодежный, все дома

ул. Нахимова, №№ 15 - 27, новые дома

ул. Победы, №№ 1 - 52

1 пер. Победы, все дома

2 пер. Победы, все дома

ул. Одесская, №№ 43 - 55 (нечётная сторона)

ул. Одесская, №№ 54а - 80а (чётная сторона)

ул. Сакко и Ванцетти, все дома

проезд Сиреневый, № 2

1 пер. Советский, №№ 26 - 32Б

2 пер. Советский, №№ 4 - 42

3 пер. Советский, №№ 3 - 43 (нечётная сторона)

4 пер. Советский, №№ 4 - 58 (чётная сторона)

4 пер. Советский, № 27

4 пер. Советский, № 33

пер. Степанова, все дома

пер. Сурикова, все дома

ул. Тельмана, №№ 2 - 46а (чётная сторона)

ул. Тельмана, № 1

ул. Тельмана, № 3

ул. Тельмана, № 5

ул. Тельмана, №№ 9 - 15 (нечетная сторона)

ул. Тельмана, № 9 - административное здание

ул. Тельмана, № 24а - административное здание

ул. Тельмана, № 32 - административное здание

ул. Тельмана, № 34 - административное здание

ул. Тельмана, № 36 - административное здание

ул. Тельмана, № 38 - административное здание

ул. Тельмана, № 40 - административное здание

ул. Тельмана, № 44а - административное здание

ул. Тельмана, № 44б - административное здание

ул. Тельмана, № 46а - административное здание

пер. Хахарева, все дома

2 пер. Чердаклинский, все дома

ул. Чкалова, все дома
